"Date"	"Time"	"Open"	"High"	"Low"	"Close"	"Volume"
09/06/2005	16:45	1234.25	1234.75	1234.00	1234.00	1359
09/06/2005	17:00	1234.00	1234.50	1234.00	1234.50	352
09/06/2005	17:15	1234.25	1234.75	1234.25	1234.50	426
09/06/2005	17:30	1234.50	1234.75	1234.50	1234.50	318
09/06/2005	18:15	1234.50	1234.75	1234.25	1234.25	165
09/06/2005	18:30	1234.25	1234.50	1234.25	1234.25	32
09/06/2005	18:45	1234.25	1234.50	1234.25	1234.50	41
09/06/2005	19:00	1234.25	1234.25	1234.00	1234.25	157
09/06/2005	19:15	1234.00	1234.25	1234.00	1234.00	184
09/06/2005	19:30	1234.00	1234.25	1234.00	1234.25	25
09/06/2005	19:45	1234.00	1234.25	1234.00	1234.25	31
09/06/2005	20:00	1234.25	1234.25	1234.00	1234.00	40
09/06/2005	20:15	1234.25	1234.25	1234.00	1234.25	223
09/06/2005	20:30	1234.25	1234.50	1234.25	1234.25	121
09/06/2005	20:45	1234.25	1234.25	1234.00	1234.25	14
09/06/2005	21:00	1234.00	1234.25	1234.00	1234.00	12
09/06/2005	21:15	1234.25	1234.25	1234.00	1234.00	28
09/06/2005	21:30	1234.00	1234.00	1233.75	1234.00	81
09/06/2005	21:45	1233.75	1234.00	1233.75	1234.00	93
09/06/2005	22:00	1234.00	1234.25	1233.75	1234.00	127
09/06/2005	22:15	1233.75	1234.00	1233.75	1233.75	8
09/06/2005	22:30	1233.75	1234.00	1233.75	1234.00	208
09/06/2005	22:45	1234.00	1234.00	1234.00	1234.00	4
09/06/2005	23:00	1234.00	1234.25	1234.00	1234.00	92
09/06/2005	23:15	1234.00	1234.00	1233.75	1233.75	14
09/06/2005	23:30	1234.00	1234.25	1233.50	1234.00	321
09/06/2005	23:45	1234.00	1234.00	1233.75	1233.75	62
09/07/2005	00:00	1234.00	1234.00	1233.50	1233.75	240
09/07/2005	00:15	1233.50	1234.00	1233.50	1234.00	32
09/07/2005	00:30	1234.00	1234.00	1233.75	1233.75	72
09/07/2005	00:45	1233.75	1234.00	1233.75	1233.75	4
09/07/2005	01:00	1233.75	1234.00	1233.75	1234.00	40
09/07/2005	01:15	1234.00	1234.25	1234.00	1234.00	32
09/07/2005	01:30	1234.00	1234.00	1234.00	1234.00	4
09/07/2005	01:45	1234.00	1234.25	1234.00	1234.00	117
09/07/2005	02:00	1234.00	1234.00	1234.00	1234.00	25
09/07/2005	02:15	1234.00	1234.00	1233.75	1233.75	150
09/07/2005	02:30	1233.75	1234.50	1233.75	1234.25	438
09/07/2005	02:45	1234.25	1234.75	1234.25	1234.50	316
09/07/2005	03:00	1234.50	1234.50	1234.00	1234.00	116
09/07/2005	03:15	1234.25	1235.00	1233.75	1234.75	1852
09/07/2005	03:30	1234.75	1235.00	1234.00	1234.25	683
09/07/2005	03:45	1234.00	1234.25	1233.50	1233.75	949
09/07/2005	04:00	1233.75	1234.25	1233.50	1234.00	781
09/07/2005	04:15	1234.00	1234.50	1233.75	1234.50	1588
09/07/2005	04:30	1234.25	1234.50	1233.75	1234.00	2751
09/07/2005	04:45	1234.00	1234.00	1233.50	1233.75	485
09/07/2005	05:00	1233.75	1234.00	1233.50	1233.75	359
09/07/2005	05:15	1233.75	1234.00	1233.50	1233.75	91
09/07/2005	05:30	1233.50	1233.75	1233.00	1233.25	634
09/07/2005	05:45	1233.25	1233.50	1233.00	1233.25	205
09/07/2005	06:00	1233.25	1233.50	1233.00	1233.25	295
09/07/2005	06:15	1233.25	1233.75	1233.25	1233.50	231
09/07/2005	06:30	1233.50	1233.75	1233.25	1233.25	264
09/07/2005	06:45	1233.50	1233.75	1233.50	1233.50	381
09/07/2005	07:00	1233.50	1233.50	1233.00	1233.00	363
09/07/2005	07:15	1233.00	1233.25	1232.75	1233.00	807
09/07/2005	07:30	1233.25	1233.25	1233.00	1233.00	57
09/07/2005	07:45	1233.25	1233.50	1233.00	1233.50	683
09/07/2005	08:00	1233.50	1234.00	1233.25	1234.00	929
09/07/2005	08:15	1233.75	1234.00	1233.25	1233.50	1017
09/07/2005	08:30	1233.75	1233.75	1233.50	1233.50	473
09/07/2005	08:45	1233.50	1233.50	1232.25	1232.50	4111
09/07/2005	09:00	1232.50	1233.00	1232.50	1233.00	1808
09/07/2005	09:15	1232.75	1233.00	1232.50	1232.75	1806
09/07/2005	09:30	1232.50	1233.25	1232.50	1233.00	2190
09/07/2005	09:45	1233.25	1233.75	1232.50	1232.50	24442
09/07/2005	10:00	1232.50	1234.00	1231.50	1232.50	41483
09/07/2005	10:15	1232.50	1233.00	1231.25	1232.00	30755
09/07/2005	10:30	1231.75	1232.50	1231.25	1232.00	29443
09/07/2005	10:45	1232.00	1234.50	1231.50	1233.75	31536
09/07/2005	11:00	1233.75	1234.75	1233.00	1234.75	26904
09/07/2005	11:15	1234.75	1236.25	1234.00	1234.00	46512
09/07/2005	11:30	1234.00	1234.50	1232.75	1233.50	25006
09/07/2005	11:45	1233.25	1234.50	1233.00	1234.25	8290
09/07/2005	12:00	1234.25	1234.50	1233.75	1233.75	8365
09/07/2005	12:15	1233.75	1234.50	1233.50	1234.00	5494
09/07/2005	12:30	1234.00	1234.50	1234.00	1234.25	4461
09/07/2005	12:45	1234.25	1235.50	1234.00	1234.25	9052
09/07/2005	13:00	1234.25	1235.25	1234.00	1235.00	5721
09/07/2005	13:15	1235.00	1236.50	1233.75	1235.75	22363
09/07/2005	13:30	1235.75	1236.50	1234.00	1234.00	18585
09/07/2005	13:45	1234.25	1234.75	1233.50	1234.50	10809
09/07/2005	14:00	1234.50	1235.75	1234.50	1235.50	10475
09/07/2005	14:15	1235.50	1236.50	1234.50	1235.25	23584
09/07/2005	14:30	1235.25	1235.25	1232.75	1233.00	26514
09/07/2005	14:45	1233.25	1235.00	1232.50	1234.75	18509
09/07/2005	15:00	1234.75	1236.00	1234.50	1235.50	20192
09/07/2005	15:15	1235.50	1237.75	1234.50	1237.25	38208
09/07/2005	15:30	1237.25	1238.00	1236.50	1237.00	27476
09/07/2005	15:45	1237.00	1237.50	1236.00	1236.25	16011
09/07/2005	16:00	1236.25	1237.00	1235.50	1237.00	24145
09/07/2005	16:15	1236.75	1237.00	1235.25	1235.50	43700
09/07/2005	16:30	1235.25	1235.50	1235.25	1235.25	58
09/07/2005	16:45	1235.25	1235.50	1234.75	1235.00	2417
09/07/2005	17:00	1235.00	1235.25	1235.00	1235.25	245
09/07/2005	17:15	1235.25	1235.25	1235.00	1235.00	515
09/07/2005	18:15	1235.00	1235.00	1234.75	1235.00	94
09/07/2005	18:30	1234.75	1235.25	1234.75	1235.00	68
09/07/2005	18:45	1235.00	1235.00	1234.50	1234.75	160
09/07/2005	19:00	1234.50	1235.00	1234.00	1234.25	712
09/07/2005	19:15	1234.25	1234.25	1234.00	1234.25	77
09/07/2005	19:30	1234.25	1234.50	1234.00	1234.25	170
09/07/2005	19:45	1234.50	1234.50	1234.00	1234.00	175
09/07/2005	20:00	1234.00	1234.50	1234.00	1234.00	341
09/07/2005	20:15	1234.00	1234.00	1233.50	1234.00	253
09/07/2005	20:30	1233.75	1234.00	1233.75	1233.75	13
09/07/2005	20:45	1234.00	1234.00	1233.75	1233.75	134
09/07/2005	21:00	1233.75	1234.00	1233.75	1233.75	100
09/07/2005	21:15	1234.00	1234.00	1233.75	1233.75	44
09/07/2005	21:30	1233.75	1234.00	1233.50	1233.75	98
09/07/2005	21:45	1233.75	1233.75	1233.75	1233.75	77
09/07/2005	22:00	1233.75	1233.75	1233.50	1233.75	301
09/07/2005	22:15	1233.50	1233.75	1233.50	1233.75	99
09/07/2005	22:30	1233.75	1233.75	1233.25	1233.50	324
09/07/2005	22:45	1233.75	1233.75	1233.50	1233.50	74
09/07/2005	23:00	1233.50	1233.75	1233.25	1233.25	42
09/07/2005	23:15	1233.50	1233.50	1233.25	1233.25	89
09/07/2005	23:30	1233.25	1233.50	1233.25	1233.50	25
09/07/2005	23:45	1233.25	1233.25	1233.25	1233.25	121
09/08/2005	00:00	1233.25	1233.25	1233.00	1233.25	51
09/08/2005	00:15	1233.50	1233.75	1233.25	1233.50	278
09/08/2005	00:30	1233.50	1233.75	1233.25	1233.25	112
09/08/2005	00:45	1233.25	1233.25	1233.25	1233.25	1
09/08/2005	01:00	1233.25	1233.50	1233.25	1233.50	16
09/08/2005	01:15	1233.25	1233.50	1233.25	1233.25	181
09/08/2005	01:30	1233.25	1233.25	1232.50	1232.75	821
09/08/2005	01:45	1232.75	1232.75	1232.75	1232.75	51
09/08/2005	02:00	1232.75	1232.75	1232.75	1232.75	129
09/08/2005	02:15	1232.75	1233.25	1232.75	1233.25	165
09/08/2005	02:30	1233.25	1233.50	1233.25	1233.25	153
09/08/2005	02:45	1233.25	1233.25	1233.00	1233.25	158
09/08/2005	03:00	1233.25	1233.75	1233.25	1233.75	469
09/08/2005	03:15	1234.00	1234.00	1233.25	1233.50	889
09/08/2005	03:30	1233.50	1234.50	1233.25	1233.25	752
09/08/2005	03:45	1233.50	1233.75	1232.75	1233.00	550
09/08/2005	04:00	1233.00	1233.25	1232.50	1232.75	737
09/08/2005	04:15	1233.00	1233.00	1232.50	1232.75	593
09/08/2005	04:30	1232.75	1233.50	1232.25	1233.00	1616
09/08/2005	04:45	1232.75	1233.25	1232.75	1233.00	103
09/08/2005	05:00	1233.00	1233.50	1232.50	1233.00	474
09/08/2005	05:15	1233.25	1233.25	1232.50	1232.75	203
09/08/2005	05:30	1232.75	1233.00	1232.50	1233.00	209
09/08/2005	05:45	1233.00	1233.25	1232.75	1233.00	491
09/08/2005	06:00	1233.00	1233.25	1233.00	1233.00	210
09/08/2005	06:15	1232.75	1233.25	1232.75	1233.00	122
09/08/2005	06:30	1232.75	1233.25	1232.75	1233.25	223
09/08/2005	06:45	1233.00	1233.50	1233.00	1233.00	379
09/08/2005	07:00	1233.00	1233.00	1232.75	1233.00	121
09/08/2005	07:15	1233.25	1233.50	1232.50	1232.50	798
09/08/2005	07:30	1232.50	1232.75	1232.25	1232.25	643
09/08/2005	07:45	1232.25	1232.50	1231.75	1232.00	1072
09/08/2005	08:00	1232.00	1232.25	1231.75	1232.00	864
09/08/2005	08:15	1232.25	1232.50	1232.00	1232.00	656
09/08/2005	08:30	1232.00	1232.50	1232.00	1232.25	1042
09/08/2005	08:45	1232.00	1233.00	1232.00	1232.25	2003
09/08/2005	09:00	1232.25	1238.50	1232.25	1238.25	710
09/08/2005	09:15	1238.25	1239.00	1238.00	1238.75	3432
09/08/2005	09:30	1238.75	1239.50	1238.50	1239.25	2822
09/08/2005	09:45	1239.25	1239.75	1237.75	1238.00	26212
09/08/2005	10:00	1237.75	1239.25	1237.25	1238.75	27758
09/08/2005	10:15	1238.75	1240.50	1238.50	1240.25	26264
09/08/2005	10:30	1240.25	1240.75	1238.75	1239.50	18369
09/08/2005	10:45	1239.50	1242.75	1239.25	1241.25	64472
09/08/2005	11:00	1241.25	1241.50	1238.75	1239.50	38063
09/08/2005	11:15	1239.50	1240.50	1239.00	1239.00	22402
09/08/2005	11:30	1239.25	1241.00	1238.50	1240.50	19628
09/08/2005	11:45	1240.50	1242.00	1240.00	1241.00	18965
09/08/2005	12:00	1241.25	1242.25	1240.75	1240.75	8995
09/08/2005	12:15	1241.00	1241.50	1240.00	1240.25	6940
09/08/2005	12:30	1240.25	1241.00	1239.75	1240.50	12546
09/08/2005	12:45	1240.50	1240.75	1239.75	1240.25	6780
09/08/2005	13:00	1240.00	1240.75	1239.75	1240.25	5165
09/08/2005	13:15	1240.25	1240.75	1240.00	1240.25	5918
09/08/2005	13:30	1240.25	1240.75	1239.75	1240.00	4263
09/08/2005	13:45	1240.25	1240.50	1239.50	1240.00	8702
09/08/2005	14:00	1239.75	1240.00	1238.50	1239.50	12453
09/08/2005	14:15	1239.50	1240.50	1239.25	1239.50	10248
09/08/2005	14:30	1239.25	1239.50	1237.50	1237.75	25164
09/08/2005	14:45	1238.00	1239.00	1237.75	1238.75	12277
09/08/2005	15:00	1238.75	1239.75	1237.50	1237.75	17274
09/08/2005	15:15	1237.75	1237.75	1236.00	1236.50	32234
09/08/2005	15:30	1236.50	1237.50	1235.75	1237.50	21700
09/08/2005	15:45	1237.25	1238.75	1237.25	1238.00	22277
09/08/2005	16:00	1238.25	1239.00	1237.75	1238.75	15406
09/08/2005	16:15	1239.00	1239.00	1237.75	1238.25	24416
09/08/2005	16:30	1238.25	1238.25	1238.00	1238.00	242
09/08/2005	16:45	1238.00	1238.75	1237.50	1238.25	1650
09/08/2005	17:00	1238.00	1238.25	1237.75	1237.75	478
09/08/2005	17:15	1237.75	1238.00	1237.75	1237.75	237
09/08/2005	17:30	1237.75	1238.00	1237.50	1237.50	645
09/08/2005	18:15	1237.50	1238.00	1237.50	1237.75	478
09/08/2005	18:30	1238.00	1238.25	1238.00	1238.25	204
09/08/2005	18:45	1238.25	1238.25	1238.00	1238.25	60
09/08/2005	19:00	1238.00	1238.25	1238.00	1238.25	15
09/08/2005	19:15	1238.50	1238.50	1238.25	1238.50	127
09/08/2005	19:30	1238.50	1238.50	1238.00	1238.00	23
09/08/2005	19:45	1238.25	1238.25	1238.00	1238.00	23
09/08/2005	20:00	1238.25	1238.25	1238.00	1238.00	4
09/08/2005	20:30	1238.25	1238.25	1238.25	1238.25	7
09/08/2005	20:45	1238.00	1238.25	1238.00	1238.25	35
09/08/2005	21:00	1238.25	1238.75	1238.25	1238.50	131
09/08/2005	21:15	1238.50	1238.75	1238.25	1238.75	75
09/08/2005	21:30	1238.50	1238.50	1238.50	1238.50	55
09/08/2005	21:45	1238.50	1238.75	1238.50	1238.50	52
09/08/2005	22:00	1238.50	1238.75	1238.50	1238.75	11
09/08/2005	22:15	1238.50	1238.75	1238.50	1238.50	21
09/08/2005	22:30	1238.50	1238.50	1238.25	1238.25	22
09/08/2005	22:45	1238.25	1238.50	1238.25	1238.50	50
09/08/2005	23:00	1238.50	1238.75	1238.25	1238.25	122
09/08/2005	23:15	1238.50	1238.50	1238.25	1238.25	27
09/08/2005	23:30	1238.25	1238.50	1238.00	1238.25	80
09/08/2005	23:45	1238.25	1238.25	1238.00	1238.25	95
09/09/2005	00:00	1238.50	1238.50	1238.25	1238.25	4
09/09/2005	00:15	1238.25	1238.50	1238.00	1238.25	78
09/09/2005	00:30	1238.00	1238.75	1238.00	1238.75	279
09/09/2005	00:45	1239.00	1239.00	1238.75	1238.75	199
09/09/2005	01:00	1239.25	1239.25	1238.50	1238.75	365
09/09/2005	01:15	1238.75	1239.00	1238.75	1238.75	247
09/09/2005	01:30	1238.75	1238.75	1238.50	1238.50	54
09/09/2005	01:45	1238.25	1238.25	1238.25	1238.25	15
09/09/2005	02:00	1238.25	1238.50	1238.25	1238.50	25
09/09/2005	02:15	1238.50	1239.00	1238.50	1239.00	115
09/09/2005	02:30	1238.75	1240.00	1238.75	1239.50	814
09/09/2005	02:45	1239.75	1240.25	1239.75	1240.00	666
09/09/2005	03:00	1240.00	1240.25	1239.75	1239.75	176
09/09/2005	03:15	1239.75	1242.25	1239.75	1241.75	2894
09/09/2005	03:30	1241.75	1242.00	1241.25	1241.50	864
09/09/2005	03:45	1241.50	1242.00	1241.25	1241.25	507
09/09/2005	04:00	1241.25	1241.50	1241.25	1241.50	32
09/09/2005	04:15	1241.25	1242.00	1241.25	1242.00	483
09/09/2005	04:30	1241.75	1242.00	1240.50	1241.00	1754
09/09/2005	04:45	1241.00	1241.25	1240.75	1241.25	944
09/09/2005	05:00	1241.25	1242.00	1241.25	1241.50	550
